source,destination,distance,road_quality,lane_count,road_type,speed_limit,tolls,foot_traffic,event,vehicle_type,historical_congestion,accident,pothole_reports,predicted_congestion,weight
C,E,56.0,1.65,2,urban,100,0,0.543,procession,bike,0.411,no,4,0.473,25.86
D,C,55.0,4.89,2,rural,80,1,0.839,procession,suv,0.115,no,7,0.343,25.349
B,D,34.0,2.7,2,rural,80,1,0.776,none,sedan,0.407,no,9,0.475,21.602
E,A,1.0,2.06,2,highway,40,0,0.54,none,bike,0.416,no,7,0.455,10.682
C,E,9.0,4.19,2,urban,60,2,0.824,procession,suv,0.656,no,5,0.441,14.806
C,B,46.0,2.23,2,urban,100,0,0.148,none,bike,0.998,no,1,0.419,20.932
D,A,2.0,4.04,2,rural,80,2,0.039,none,truck,0.606,no,7,0.298,11.22
E,B,33.0,1.99,1,urban,40,0,0.25,vip_movement,truck,0.12,no,9,0.366,19.874
C,E,1.0,1.34,3,highway,60,0,0.262,procession,bike,0.908,no,0,0.532,10.835
E,C,36.0,2.38,3,rural,40,1,0.575,none,bike,0.47,no,1,0.387,20.976
C,D,16.0,2.32,4,urban,60,0,0.567,procession,sedan,0.758,no,9,0.527,15.526
C,B,43.0,1.65,2,rural,60,0,0.065,procession,bike,0.929,no,0,0.442,21.858
B,D,59.0,3.52,4,highway,40,1,0.677,none,bike,0.176,no,9,0.374,28.661
A,C,39.0,4.2,4,rural,60,1,0.877,none,truck,0.124,no,0,0.296,19.347
D,C,29.0,2.1,3,rural,100,0,0.928,none,suv,0.108,no,4,0.438,16.756
D,C,36.0,3.87,3,highway,40,0,0.893,procession,bike,0.448,no,7,0.441,19.905
B,A,39.0,2.62,2,urban,80,1,0.158,procession,bike,0.378,no,3,0.29,20.102
C,D,33.0,3.69,2,urban,100,0,0.201,procession,sedan,0.064,no,4,0.201,14.57
D,B,7.0,1.45,1,rural,60,2,0.014,none,sedan,0.996,no,3,0.509,16.746
B,C,41.0,3.24,2,highway,80,2,0.928,none,truck,0.216,no,9,0.442,25.066
B,E,48.0,1.12,2,urban,60,2,0.323,none,bike,0.674,no,4,0.598,31.154
C,B,46.0,4.42,2,highway,40,1,0.488,vip_movement,truck,0.627,yes,0,1.0,38.93
C,E,6.0,3.98,2,urban,40,0,0.865,vip_movement,truck,0.688,yes,2,1.0,25.455
D,A,28.0,4.17,2,highway,60,1,0.039,vip_movement,truck,0.412,no,2,0.206,15.56
D,A,58.0,2.51,2,urban,60,2,0.441,none,truck,0.463,no,4,0.38,29.487
D,C,53.0,4.25,4,urban,60,0,0.168,procession,bike,0.581,no,10,0.344,24.018
D,E,48.0,4.8,3,urban,80,2,0.547,vip_movement,truck,0.757,no,4,0.384,25.083
A,E,59.0,4.67,4,highway,40,2,0.902,none,suv,0.451,no,0,0.356,28.335
C,E,14.0,2.16,2,urban,80,0,0.731,none,truck,0.601,no,6,0.511,13.828
B,A,29.0,2.67,2,rural,100,0,0.988,none,bike,0.096,no,3,0.397,15.643
C,D,59.0,3.98,3,rural,60,0,0.374,none,truck,0.749,no,2,0.345,24.309
C,E,7.0,1.87,3,highway,40,0,0.373,vip_movement,sedan,0.91,no,7,0.541,13.591
E,C,16.0,2.45,3,rural,100,0,0.74,procession,suv,0.289,no,2,0.389,11.637
A,C,56.0,3.4,4,rural,40,2,0.261,none,bike,0.3,no,3,0.26,27.472
E,B,13.0,3.67,4,highway,80,0,0.701,none,truck,0.411,no,4,0.371,10.773
C,B,48.0,3.98,4,rural,100,0,0.78,none,bike,0.09,no,7,0.344,21.003
A,D,20.0,2.74,2,highway,80,0,0.876,none,sedan,0.772,no,7,0.546,15.68
C,A,32.0,1.61,1,urban,80,1,0.806,none,suv,0.057,no,6,0.48,21.701
B,E,46.0,3.88,1,highway,80,2,0.449,procession,suv,0.57,no,10,0.407,26.159
D,A,48.0,1.76,2,highway,60,2,0.064,none,bike,0.82,no,10,0.505,29.794
A,D,21.0,1.46,3,urban,80,2,0.725,none,suv,0.872,no,3,0.624,21.563
A,B,56.0,2.04,4,urban,100,0,0.897,vip_movement,bike,0.536,no,1,0.493,24.882
C,A,6.0,4.81,2,highway,100,2,0.105,procession,bike,0.196,no,4,0.183,9.973
E,D,46.0,4.86,2,highway,40,0,0.299,procession,sedan,0.588,no,2,0.28,20.025
D,C,12.0,2.85,2,highway,100,0,0.77,none,sedan,0.269,no,4,0.388,10.539
C,E,56.0,4.37,3,rural,80,1,0.037,none,suv,0.431,no,9,0.275,25.492
C,D,51.0,3.09,1,rural,40,2,0.113,none,bike,0.442,no,4,0.28,26.521
E,D,24.0,4.2,1,rural,40,1,0.61,none,sedan,0.515,no,0,0.32,15.593
B,E,7.0,3.11,1,highway,60,0,0.923,none,bike,0.243,no,3,0.392,9.723
B,D,27.0,1.36,1,highway,60,1,0.845,none,bike,0.536,no,8,0.651,23.395
A,E,56.0,4.55,1,highway,80,2,0.139,none,bike,0.018,no,2,0.139,24.692
C,B,2.0,4.1,1,highway,80,0,0.759,none,truck,0.464,no,9,0.432,8.944
C,E,50.0,2.29,2,rural,40,0,0.458,vip_movement,sedan,0.807,no,10,0.528,26.465
D,E,7.0,1.01,3,rural,80,0,0.537,vip_movement,sedan,0.698,no,2,0.665,15.119
D,A,50.0,1.85,2,rural,40,0,0.627,none,truck,0.23,no,5,0.438,25.08
D,A,25.0,1.27,2,urban,40,0,0.818,vip_movement,truck,0.513,no,0,0.58,19.233
D,A,55.0,1.51,2,highway,100,0,0.409,none,suv,0.52,no,1,0.461,25.117
C,D,57.0,1.27,2,highway,40,0,0.546,none,bike,0.978,no,8,0.7,31.632
E,B,13.0,1.89,2,rural,80,2,0.404,none,truck,0.12,no,4,0.357,15.918
E,A,55.0,3.02,2,urban,60,0,0.197,vip_movement,suv,0.439,no,7,0.33,24.353
B,E,55.0,2.33,4,highway,100,2,0.317,vip_movement,suv,0.842,no,9,0.494,29.889
B,C,16.0,3.26,2,rural,60,2,0.116,none,bike,0.127,no,5,0.221,15.049
C,B,16.0,3.17,3,highway,60,0,0.057,none,suv,0.678,no,6,0.333,12.405
E,B,30.0,2.22,1,rural,60,0,0.539,procession,bike,0.592,no,5,0.457,18.323
E,A,18.0,4.84,2,rural,100,0,0.864,vip_movement,sedan,0.85,no,0,0.425,11.188
B,E,29.0,3.56,4,rural,100,0,0.645,none,suv,0.424,no,2,0.346,14.467
E,D,52.0,3.04,2,rural,100,1,0.094,procession,bike,0.948,no,1,0.35,23.445
E,C,32.0,4.28,2,urban,100,2,0.201,vip_movement,bike,0.541,no,7,0.312,19.787
C,E,36.0,4.71,2,urban,40,0,0.59,none,bike,0.621,yes,6,1.0,35.062
D,A,25.0,3.78,1,rural,40,0,0.162,vip_movement,bike,0.723,no,2,0.303,14.25
D,B,51.0,2.33,2,highway,60,0,0.555,vip_movement,sedan,0.81,no,6,0.504,25.185
E,C,29.0,4.95,1,urban,100,0,0.906,vip_movement,truck,0.614,no,8,0.465,16.456
A,C,23.0,2.02,3,urban,80,2,0.171,vip_movement,bike,0.769,no,3,0.416,19.134
C,A,21.0,1.75,1,urban,100,0,0.876,procession,sedan,0.566,no,10,0.617,17.839
C,A,30.0,1.07,1,rural,80,1,0.408,vip_movement,bike,0.982,no,5,0.702,24.7
D,A,30.0,4.59,2,highway,80,0,0.407,procession,suv,0.988,no,10,0.466,17.749
A,B,2.0,2.29,2,rural,100,0,0.807,none,bike,0.094,no,1,0.365,7.136
E,A,7.0,1.99,2,highway,100,0,0.137,none,sedan,0.467,yes,2,1.0,25.516
A,D,58.0,4.12,3,highway,40,2,0.158,none,truck,0.781,no,7,0.355,29.56
A,B,6.0,3.42,2,rural,100,1,0.724,vip_movement,sedan,0.695,no,10,0.501,12.766
D,A,31.0,2.44,4,rural,60,0,0.199,vip_movement,bike,0.847,no,0,0.373,16.577
A,D,23.0,3.59,4,urban,40,2,0.144,procession,truck,0.128,no,8,0.246,18.352
D,A,55.0,4.11,2,rural,100,0,0.596,none,truck,0.721,no,4,0.401,23.024
A,C,55.0,1.67,2,highway,100,0,0.168,vip_movement,bike,0.602,no,2,0.414,24.54
D,C,5.0,2.64,2,highway,60,1,0.37,none,sedan,0.353,no,3,0.326,10.749
D,C,52.0,4.85,2,highway,100,1,0.56,none,truck,0.769,no,5,0.398,24.113
A,B,7.0,4.57,4,rural,100,0,0.987,vip_movement,bike,0.653,no,5,0.466,9.352
E,B,46.0,3.34,4,rural,40,0,0.321,procession,bike,0.339,no,5,0.302,21.313
A,B,18.0,1.16,3,highway,40,0,0.021,procession,sedan,0.196,yes,1,1.0,31.912
E,D,34.0,2.58,2,urban,40,2,0.97,procession,suv,0.153,no,1,0.39,22.238
B,A,7.0,3.68,2,highway,80,0,0.823,none,sedan,0.333,no,9,0.43,10.556
D,A,36.0,3.75,2,highway,100,2,0.401,none,sedan,0.259,no,8,0.319,21.424
E,B,11.0,3.96,2,urban,40,0,0.447,none,bike,0.997,no,2,0.41,11.061
A,C,22.0,2.96,1,urban,100,2,0.416,none,bike,0.028,no,4,0.264,16.23
C,A,21.0,3.63,2,urban,80,0,0.364,vip_movement,bike,0.866,no,4,0.396,13.436
C,B,48.0,3.37,4,urban,60,2,0.043,none,suv,0.54,no,2,0.255,24.338
C,A,17.0,1.08,2,highway,80,1,0.777,none,sedan,0.091,no,1,0.553,18.444
C,E,42.0,2.68,3,urban,100,0,0.117,procession,sedan,0.131,no,3,0.229,17.855
D,B,18.0,1.65,1,rural,80,0,0.531,vip_movement,truck,0.283,no,8,0.486,15.889
E,C,28.0,2.95,3,highway,80,0,0.477,none,bike,0.79,no,10,0.489,17.986
A,E,51.0,1.61,2,rural,40,0,0.629,none,truck,0.461,no,9,0.556,27.762
B,C,52.0,1.7,1,urban,80,0,0.721,procession,sedan,0.484,no,0,0.476,24.3
C,B,14.0,1.56,2,highway,100,2,0.102,vip_movement,truck,0.493,no,0,0.375,15.648
B,E,14.0,4.41,1,urban,40,2,0.767,none,truck,0.94,no,6,0.492,17.455
A,D,30.0,4.26,3,highway,60,0,0.247,procession,sedan,0.586,no,2,0.281,14.879
C,A,6.0,3.13,2,rural,100,0,0.241,none,truck,0.852,no,6,0.406,9.163
E,D,54.0,3.33,2,rural,100,1,0.48,procession,sedan,0.402,no,4,0.337,24.37
C,E,17.0,2.14,4,urban,60,0,0.011,none,bike,0.954,no,10,0.48,15.738
C,E,33.0,4.33,3,urban,40,0,0.617,vip_movement,bike,0.108,yes,0,1.0,33.055
C,E,7.0,3.86,1,urban,80,1,0.482,none,bike,0.521,no,3,0.334,10.336
D,B,31.0,4.79,2,rural,100,0,0.657,none,bike,0.899,no,10,0.495,17.791
B,C,40.0,2.34,4,rural,60,0,0.074,none,bike,0.405,no,8,0.347,20.704
B,C,58.0,3.29,4,urban,60,0,0.212,none,sedan,0.062,yes,4,1.0,41.221
C,A,45.0,2.75,2,highway,60,1,0.776,none,sedan,0.838,no,8,0.548,25.902
D,C,59.0,4.77,2,rural,60,0,0.765,none,bike,0.426,no,5,0.372,24.969
E,D,42.0,1.58,2,highway,80,1,0.781,procession,suv,0.217,no,1,0.463,23.59
D,A,21.0,3.18,2,urban,60,1,0.055,none,bike,0.646,no,6,0.326,15.83
E,A,12.0,4.2,1,highway,100,0,0.553,none,suv,0.408,no,1,0.297,8.464
C,A,40.0,1.03,3,highway,40,0,0.046,none,bike,0.666,no,8,0.61,26.543
C,A,29.0,3.28,3,highway,80,2,0.727,vip_movement,sedan,0.551,no,10,0.477,21.999
D,B,45.0,1.1,1,urban,40,0,0.905,none,bike,0.143,no,7,0.644,27.896
B,A,49.0,4.67,1,highway,60,0,0.657,vip_movement,suv,0.358,no,9,0.379,22.856
C,D,54.0,4.36,3,highway,100,0,0.499,none,bike,0.935,no,0,0.378,21.632
D,C,12.0,4.61,2,urban,40,2,0.724,procession,suv,0.345,no,8,0.38,16.088
E,B,55.0,4.55,2,highway,80,0,0.88,none,sedan,0.811,no,5,0.476,24.358
A,D,58.0,4.11,2,urban,100,2,0.8,vip_movement,suv,0.186,no,1,0.305,26.362
A,E,18.0,2.84,1,highway,40,0,0.643,vip_movement,sedan,0.643,no,5,0.448,14.636
C,D,53.0,1.54,1,urban,60,0,0.267,none,sedan,0.254,no,10,0.464,27.288
E,D,55.0,3.14,1,urban,60,0,0.511,none,sedan,0.392,no,7,0.378,24.769
E,D,24.0,1.78,3,highway,80,0,0.151,procession,sedan,0.555,no,5,0.415,16.157
C,D,25.0,3.12,1,rural,100,1,0.541,vip_movement,sedan,0.792,no,4,0.435,16.753
E,B,44.0,1.75,1,rural,100,0,0.587,none,truck,0.164,no,10,0.48,23.361
B,C,56.0,1.91,1,urban,80,0,0.629,none,suv,0.428,no,2,0.441,25.221
E,C,4.0,2.35,1,highway,100,2,0.729,none,sedan,0.083,yes,3,1.0,28.426
B,C,45.0,4.89,3,urban,60,0,0.159,vip_movement,sedan,0.138,no,0,0.141,17.436
A,D,4.0,1.47,2,urban,40,1,0.381,vip_movement,bike,0.475,no,3,0.473,13.923
C,B,29.0,2.36,2,urban,40,0,0.617,procession,truck,0.941,no,7,0.551,19.732
E,C,27.0,2.91,2,urban,40,2,0.51,none,suv,0.237,no,0,0.287,18.685
C,E,2.0,1.24,4,highway,100,1,0.185,procession,sedan,0.305,no,4,0.46,12.522
D,C,25.0,2.44,3,rural,40,0,0.417,vip_movement,suv,0.592,no,5,0.416,16.704
C,D,55.0,2.57,2,highway,60,0,0.849,none,suv,0.334,no,0,0.392,23.863
B,D,11.0,4.27,2,rural,60,0,0.247,vip_movement,bike,0.119,no,10,0.267,10.641
E,D,37.0,2.36,2,rural,80,0,0.182,vip_movement,truck,0.475,no,8,0.381,19.631
E,C,10.0,1.88,2,urban,40,2,0.738,procession,bike,0.47,no,7,0.525,18.315
D,E,41.0,3.89,1,rural,60,2,0.306,none,suv,0.463,no,1,0.267,21.951
A,D,12.0,4.21,2,highway,100,1,0.402,vip_movement,bike,0.576,no,8,0.371,12.593
C,E,6.0,1.45,3,rural,80,0,0.929,none,truck,0.167,no,10,0.595,14.203
C,B,4.0,4.19,3,urban,60,0,0.04,procession,bike,0.673,no,3,0.268,7.173
C,D,55.0,4.31,2,highway,80,1,0.863,vip_movement,truck,0.466,no,0,0.359,24.247
A,B,18.0,3.44,3,urban,100,0,0.422,none,sedan,0.195,no,1,0.25,10.049
D,E,28.0,4.03,2,highway,100,0,0.873,procession,bike,0.24,no,6,0.382,15.161
B,E,51.0,3.14,3,highway,100,2,0.841,none,suv,0.853,no,7,0.536,28.154
B,A,58.0,1.47,2,highway,40,0,0.585,none,sedan,0.704,no,2,0.549,28.686
B,D,4.0,4.97,2,rural,60,2,0.612,none,bike,0.028,yes,4,1.0,28.507
A,C,48.0,1.55,1,highway,80,0,0.567,vip_movement,bike,0.188,no,8,0.489,25.109
B,A,23.0,2.81,2,highway,100,1,0.679,none,sedan,0.009,no,2,0.3,14.572
A,E,2.0,1.55,1,urban,60,2,0.811,procession,bike,0.159,no,8,0.532,16.233
A,D,33.0,3.78,1,urban,40,1,0.229,procession,bike,0.186,no,8,0.269,19.51
A,D,53.0,2.54,2,rural,80,0,0.297,none,truck,0.045,yes,1,1.0,39.065
B,A,11.0,3.87,1,urban,100,2,0.403,procession,sedan,0.618,no,9,0.398,14.869
E,B,1.0,1.56,2,urban,80,0,0.445,none,truck,0.156,no,6,0.437,10.075
E,B,20.0,2.32,4,highway,60,1,0.575,none,bike,0.66,no,8,0.499,18.246
D,E,51.0,3.5,2,rural,40,0,0.512,none,bike,0.759,no,10,0.469,25.418
B,D,1.0,3.94,2,rural,80,0,0.404,vip_movement,sedan,0.222,no,3,0.257,5.737
A,E,13.0,4.67,2,urban,100,0,0.982,none,sedan,0.907,no,8,0.543,12.506
D,B,56.0,4.0,1,urban,40,0,0.875,none,sedan,0.721,no,7,0.489,26.34
B,A,29.0,4.31,3,rural,40,0,0.837,none,bike,0.117,no,0,0.284,14.697
D,E,20.0,1.28,4,rural,100,0,0.682,procession,suv,0.644,no,10,0.678,19.195
A,C,27.0,4.33,2,highway,100,0,0.623,none,bike,0.27,no,8,0.351,14.866
A,B,37.0,5.0,3,highway,100,0,0.461,procession,sedan,0.321,no,7,0.307,17.066
D,C,4.0,2.65,2,urban,40,0,0.225,procession,suv,0.118,no,9,0.31,9.984
A,E,50.0,1.96,3,rural,80,0,0.87,vip_movement,suv,0.152,no,7,0.478,24.724
C,B,40.0,4.49,2,rural,80,1,0.338,none,truck,0.614,no,0,0.28,18.909
E,B,15.0,4.19,2,highway,60,0,0.069,none,truck,0.888,no,6,0.347,11.862
E,A,5.0,2.12,2,urban,100,1,0.41,none,bike,0.429,no,6,0.416,11.714
B,D,28.0,3.88,4,highway,40,0,0.636,none,bike,0.829,no,0,0.396,15.649
D,E,16.0,1.61,3,urban,100,0,0.72,vip_movement,bike,0.576,no,1,0.518,13.788
C,D,32.0,3.66,2,highway,60,0,0.771,procession,sedan,0.272,no,7,0.388,17.744
B,C,1.0,4.23,3,rural,80,0,0.748,procession,bike,0.166,yes,0,1.0,22.481
A,D,36.0,2.69,1,highway,80,0,0.856,procession,bike,0.886,no,8,0.577,21.033
B,E,1.0,4.41,3,urban,60,1,0.431,none,suv,0.325,no,2,0.262,7.953
A,E,25.0,1.17,3,highway,80,0,0.444,vip_movement,bike,0.29,no,2,0.509,18.257
C,A,45.0,1.9,2,rural,60,0,0.479,vip_movement,sedan,0.86,no,9,0.568,25.107
B,A,24.0,3.57,2,rural,80,0,0.868,vip_movement,sedan,0.793,no,10,0.544,17.046
A,D,8.0,3.19,1,highway,60,1,0.157,none,bike,0.495,no,7,0.326,12.127
C,D,30.0,4.6,2,rural,80,0,0.621,vip_movement,bike,0.122,no,2,0.256,14.043
C,D,19.0,3.78,1,rural,80,1,0.605,none,bike,0.765,no,8,0.46,16.222
D,E,37.0,2.35,2,rural,40,0,0.733,none,suv,0.756,no,4,0.508,21.108
A,E,52.0,4.06,2,rural,40,2,0.405,procession,bike,0.49,no,1,0.288,25.908
D,B,28.0,2.06,2,rural,40,2,0.643,vip_movement,truck,0.765,no,1,0.486,21.892
D,C,44.0,1.81,3,highway,40,1,0.754,procession,sedan,0.805,no,0,0.532,25.282
D,A,17.0,4.08,4,urban,60,0,0.605,procession,suv,0.294,no,3,0.308,11.506
E,B,2.0,4.5,2,highway,40,1,0.603,none,truck,0.77,yes,9,1.0,27.512
B,C,38.0,4.78,2,highway,100,1,0.485,procession,sedan,0.129,no,4,0.247,18.213
E,A,14.0,1.95,4,urban,40,0,0.489,vip_movement,suv,0.137,no,10,0.43,15.066
D,B,37.0,2.75,3,highway,40,0,0.06,vip_movement,suv,0.948,no,9,0.437,21.087
D,A,25.0,4.32,2,urban,40,0,0.471,none,sedan,0.496,yes,3,1.0,31.259
D,B,40.0,1.07,4,highway,60,0,0.647,procession,bike,0.627,no,4,0.669,25.662
D,C,15.0,3.25,2,rural,100,1,0.234,none,sedan,0.09,no,7,0.258,12.521
E,A,46.0,3.81,2,urban,60,0,0.6,none,suv,0.005,no,6,0.286,20.671
D,A,55.0,1.02,2,highway,40,0,0.437,none,sedan,0.524,no,2,0.606,29.885
B,E,19.0,3.17,2,urban,60,0,0.386,none,suv,0.849,no,9,0.463,15.209
B,C,46.0,3.01,4,rural,100,1,0.264,none,sedan,0.159,no,5,0.267,21.634
B,D,40.0,4.3,3,urban,60,0,0.338,none,truck,0.804,no,4,0.361,19.075
C,E,59.0,1.22,3,urban,80,0,0.808,vip_movement,suv,0.589,no,5,0.657,30.355
C,D,9.0,3.97,2,urban,60,1,0.432,none,suv,0.683,no,6,0.384,12.499
E,C,31.0,1.56,2,urban,80,2,0.46,none,bike,0.156,no,0,0.379,21.297
D,E,41.0,3.65,1,highway,80,0,0.524,none,bike,0.188,no,0,0.252,17.19
C,B,5.0,1.76,2,urban,80,1,0.921,none,truck,0.276,no,5,0.517,13.517
B,A,37.0,4.9,1,urban,60,1,0.575,procession,bike,0.463,no,7,0.359,20.614
E,C,19.0,3.84,1,urban,40,0,0.959,none,truck,0.237,no,6,0.403,14.238
B,A,45.0,1.44,3,highway,40,0,0.966,none,bike,0.264,yes,6,1.0,40.177
B,A,34.0,3.11,2,highway,40,2,0.764,procession,bike,0.512,no,8,0.464,24.048
C,A,22.0,1.84,3,highway,80,1,0.446,none,suv,0.563,no,2,0.439,17.101
D,E,41.0,2.65,3,urban,40,2,0.817,none,suv,0.356,no,10,0.486,27.048
E,B,58.0,2.83,2,rural,60,2,0.253,none,suv,0.509,no,0,0.294,27.606
A,D,10.0,1.67,2,urban,40,0,0.006,none,bike,0.027,no,7,0.316,12.55
D,B,22.0,2.52,3,rural,80,1,0.886,none,bike,0.47,no,1,0.44,16.177
A,C,58.0,3.94,2,rural,60,0,0.685,none,bike,0.92,no,3,0.453,25.296
E,B,30.0,4.54,2,rural,60,0,0.884,procession,truck,0.637,no,7,0.462,17.625
E,A,31.0,1.73,2,rural,80,0,0.313,none,sedan,0.45,no,7,0.454,19.138
D,B,18.0,3.22,1,rural,80,0,0.029,none,bike,0.735,no,9,0.367,13.422
C,E,15.0,4.62,1,highway,40,0,0.531,none,sedan,0.879,no,5,0.419,12.769
D,A,40.0,3.72,3,rural,80,0,0.558,vip_movement,truck,0.467,no,3,0.343,18.372
E,B,40.0,2.54,1,urban,80,2,0.756,procession,suv,0.945,no,7,0.568,26.047
E,B,2.0,2.48,2,highway,80,0,0.678,procession,suv,0.948,no,8,0.566,10.876
A,E,33.0,2.35,3,rural,60,0,0.159,none,bike,0.429,no,10,0.388,19.402
E,B,4.0,1.31,2,highway,80,0,0.065,procession,bike,0.329,no,5,0.434,11.35
A,B,30.0,3.53,2,urban,60,0,0.109,none,sedan,0.496,no,1,0.244,14.562
C,B,52.0,4.21,2,highway,60,0,0.583,none,suv,0.298,no,0,0.271,21.001
C,B,22.0,1.55,4,highway,80,0,0.906,none,sedan,0.098,no,1,0.469,15.727
E,B,14.0,4.15,2,urban,80,0,0.093,none,suv,0.395,no,7,0.264,10.445
D,A,55.0,3.77,2,rural,80,0,0.337,procession,suv,0.068,no,2,0.207,21.299
A,E,1.0,1.12,2,urban,80,0,0.421,procession,suv,0.577,no,4,0.595,12.503
A,E,47.0,4.29,3,rural,100,2,0.555,procession,truck,0.727,no,6,0.41,25.061
B,E,6.0,1.21,2,urban,60,0,0.356,none,truck,0.505,no,5,0.554,13.978
A,D,27.0,1.12,2,rural,80,0,0.917,none,sedan,0.218,no,6,0.645,21.234
D,A,57.0,4.66,2,highway,60,1,0.622,none,bike,0.896,no,0,0.389,25.566
A,D,24.0,2.36,2,rural,60,0,0.007,procession,truck,0.393,yes,8,1.0,32.415
D,E,32.0,3.9,3,urban,80,0,0.262,none,sedan,0.098,no,6,0.235,15.429
E,B,22.0,3.75,4,rural,40,0,0.824,none,suv,0.16,no,7,0.374,15.069
C,A,40.0,3.59,2,urban,80,1,0.474,none,truck,0.64,no,6,0.394,21.534
B,E,13.0,3.98,2,urban,60,0,0.81,vip_movement,truck,0.163,no,1,0.305,9.905
A,D,57.0,3.55,1,highway,60,1,0.49,none,truck,0.832,no,2,0.397,26.378
A,E,18.0,2.54,3,highway,80,0,0.379,vip_movement,bike,0.771,no,5,0.437,13.741
C,B,35.0,2.8,2,urban,40,1,0.391,vip_movement,sedan,0.857,no,6,0.452,22.007
B,A,29.0,2.98,2,urban,60,0,0.63,vip_movement,bike,0.942,no,9,0.538,19.06
B,D,10.0,4.94,3,urban,100,0,0.21,none,bike,0.372,no,6,0.257,8.286
B,A,52.0,2.52,4,highway,80,1,0.761,none,sedan,0.735,no,7,0.528,27.268
A,C,24.0,1.53,3,rural,100,1,0.612,none,bike,0.154,no,4,0.456,18.334
C,D,21.0,1.6,2,rural,80,0,0.09,vip_movement,sedan,0.057,no,1,0.29,13.531
B,A,42.0,2.32,1,urban,100,0,0.124,vip_movement,sedan,0.168,no,3,0.261,18.465
A,B,47.0,3.91,3,highway,80,0,0.321,vip_movement,suv,0.268,no,5,0.27,20.082
E,D,40.0,3.75,2,rural,60,0,0.721,none,sedan,0.141,no,5,0.329,19.125
D,C,35.0,2.8,2,rural,100,0,0.383,none,sedan,0.658,no,8,0.431,18.696
C,B,44.0,2.63,3,rural,80,1,0.862,vip_movement,sedan,0.477,no,1,0.43,22.598
B,C,16.0,2.56,2,highway,80,0,0.273,none,sedan,0.687,yes,3,1.0,28.355
D,A,20.0,3.3,3,urban,80,0,0.92,procession,sedan,0.35,no,0,0.375,12.262
B,E,10.0,1.92,2,urban,60,2,0.698,none,suv,0.132,no,6,0.435,16.655
C,B,57.0,2.63,2,highway,60,2,0.323,none,suv,0.312,no,0,0.279,27.297
D,E,57.0,2.84,2,highway,40,0,0.531,vip_movement,bike,0.584,no,0,0.364,24.505
E,A,56.0,4.28,2,highway,80,2,0.303,none,sedan,0.829,no,4,0.36,27.366
B,E,18.0,2.23,1,rural,100,2,0.171,none,bike,0.039,no,8,0.302,16.762
B,E,18.0,4.68,1,highway,40,1,0.952,procession,suv,0.773,yes,4,1.0,31.269
A,E,21.0,4.59,2,rural,40,2,0.39,none,truck,0.726,no,8,0.39,18.893
E,A,46.0,4.47,2,rural,100,0,0.964,none,truck,0.619,no,0,0.406,19.483
E,D,13.0,4.48,3,urban,80,0,0.81,none,truck,0.427,no,9,0.427,12.081
B,E,4.0,3.07,2,rural,60,0,0.014,vip_movement,truck,0.801,no,9,0.383,9.961
E,C,2.0,4.45,3,highway,40,2,0.236,none,truck,0.416,no,5,0.27,11.425
D,B,11.0,1.7,1,highway,40,1,0.073,none,bike,0.675,no,3,0.415,15.001
C,B,20.0,4.04,2,highway,40,0,0.471,none,bike,0.373,no,1,0.278,12.216
B,C,7.0,1.63,3,highway,80,0,0.968,none,sedan,0.117,no,5,0.513,12.295
A,B,57.0,4.42,2,urban,100,0,0.576,none,sedan,0.308,no,10,0.367,24.404
B,A,3.0,3.34,2,rural,60,1,0.112,vip_movement,sedan,0.876,no,1,0.327,9.37
E,C,40.0,3.11,2,highway,60,1,0.058,vip_movement,suv,0.828,no,8,0.386,22.562
C,A,11.0,3.89,1,rural,80,2,0.132,none,bike,0.071,no,0,0.143,11.018
D,B,9.0,1.74,1,urban,100,0,0.633,none,bike,0.511,no,6,0.519,12.46
C,B,50.0,4.14,4,rural,80,1,0.829,none,bike,0.454,no,0,0.353,22.738
A,B,29.0,2.82,2,highway,80,0,0.871,none,truck,0.316,no,3,0.409,16.17
C,D,4.0,2.24,1,rural,60,2,0.044,none,truck,0.322,no,10,0.352,14.455
E,C,40.0,4.02,1,highway,60,0,0.538,procession,suv,0.62,no,6,0.391,19.857
B,D,21.0,4.55,1,rural,100,1,0.365,none,bike,0.388,no,7,0.309,14.385
B,E,4.0,3.06,3,rural,40,0,0.776,none,sedan,0.046,no,8,0.375,10.183
B,D,10.0,1.03,2,highway,80,0,0.952,none,sedan,0.123,yes,0,1.0,28.836
C,D,6.0,4.1,1,urban,100,0,0.696,none,bike,0.09,no,1,0.265,6.365
E,C,44.0,2.32,2,urban,40,2,0.273,none,sedan,0.359,no,9,0.389,27.045
C,D,37.0,3.41,2,highway,40,1,0.791,none,suv,0.316,no,2,0.359,20.55
E,D,16.0,4.61,2,highway,80,2,0.285,vip_movement,truck,0.377,no,10,0.319,16.077
C,B,52.0,4.02,2,highway,40,1,0.991,none,sedan,0.138,no,10,0.426,27.101
D,A,6.0,2.16,3,highway,40,0,0.882,none,bike,0.282,no,6,0.478,12.093
C,D,13.0,3.93,2,highway,40,0,0.302,vip_movement,truck,0.982,no,1,0.369,11.06
B,A,24.0,2.28,2,highway,80,1,0.366,none,truck,0.006,no,7,0.32,16.996
E,B,46.0,3.96,2,urban,60,0,0.88,vip_movement,sedan,0.457,no,7,0.438,22.344
